0.00000000 0.0000000000
0.02020202 0.0101007927
0.04040404 0.0202028237
0.06060606 0.0303169626
0.08080808 0.0404371009
0.10101010 0.0505697114
0.12121212 0.0607179845
0.14141414 0.0708851598
0.16161616 0.0810745370
0.18181818 0.0912894870
0.20202020 0.1015334645
0.22222222 0.1118100204
0.24242424 0.1221228158
0.26262626 0.1324756372
0.28282828 0.1428724128
0.30303030 0.1533172304
0.32323232 0.1638143573
0.34343434 0.1743682619
0.36363636 0.1849836386
0.38383838 0.1956654349
0.40404040 0.2064188826
0.42424242 0.2172495325
0.44444444 0.2281632944
0.46464646 0.2391664828
0.48484848 0.2502658698
0.50505051 0.2614687458
0.52525253 0.2727829909
0.54545455 0.2842171585
0.56565657 0.2957805742
0.58585859 0.3074834535
0.60606061 0.3193370434
0.62626263 0.3313537940
0.64646465 0.3435475676
0.66666667 0.3559338987
0.68686869 0.3685303171
0.70707071 0.3813567591
0.72727273 0.3944360945
0.74747475 0.4077948153
0.76767677 0.4214639522
0.78787879 0.4354803196
0.80808081 0.4498882505
0.82828283 0.4647420863
0.84848485 0.4801098761
0.86868687 0.4960791182
0.88888889 0.5127662439
0.90909091 0.5303327487
0.92929293 0.5490179353
0.94949495 0.5692090299
0.96969697 0.5916384061
0.98989899 0.5160709739
1.01010101 0.5073149114
1.03030303 0.5384439902
1.05050505 0.5081472472
1.07070707 0.4947932494
1.09090909 0.4883447523
1.11111111 0.4647451898
1.13131313 0.4547806223
1.15151515 0.4427286983
1.17171717 0.4452845480
1.19191919 0.4183477200
1.21212121 0.4208873439
1.23232323 0.4051874576
1.25252525 0.4016186006
1.27272727 0.3961326079
1.29292929 0.3956086609
1.31313131 0.3888046453
1.33333333 0.3821273441
1.35353535 0.3798268525
1.37373737 0.3797977386
1.39393939 0.3616142539
1.41414141 0.3653145419
1.43434343 0.3511601838
1.45454545 0.3425547709
1.47474747 0.3418316697
1.49494949 0.3364707819
1.51515152 0.3342681610
1.53535354 0.3276032582
1.55555556 0.3272341834
1.57575758 0.3159726708
1.59595960 0.3157245730
1.61616162 0.3184349415
1.63636364 0.3099944332
1.65656566 0.3045009385
1.67676768 0.2994356922
1.69696970 0.2956452607
1.71717172 0.2965939859
1.73737374 0.2886759377
1.75757576 0.2861294051
1.77777778 0.2888413550
1.79797980 0.2803488506
1.81818182 0.2759434153
1.83838384 0.2790645202
1.85858586 0.2692634882
1.87878788 0.2666050406
1.89898990 0.2627632374
1.91919192 0.2628946456
1.93939394 0.2589931470
1.95959596 0.2569371797
1.97979798 0.2527940040
2.00000000 0.2504751769
